2023-05-02 11:15:42:	logging to ppo/Acrobot-v1/2023-05-02-11-15-0-238381
2023-05-02 11:15:42:	saved parameters.txt to ppo/Acrobot-v1/2023-05-02-11-15-0-238381/parameters.txt
2023-05-02 11:15:42:	Initializing Environment
2023-05-02 11:15:42:	Initializing Agent
2023-05-02 11:15:42:	Initializing Trainer
2023-05-02 11:15:42:	Started training
2023-05-02 11:15:45:	Timestep:2001	Evaluation return -494.600000
2023-05-02 11:15:47:	Timestep:4002	Evaluation return -500.000000
2023-05-02 11:15:50:	Timestep:6003	Evaluation return -500.000000
2023-05-02 11:15:52:	Timestep:8004	Evaluation return -500.000000
2023-05-02 11:15:55:	Timestep:10005	Evaluation return -500.000000
2023-05-02 11:15:57:	Timestep:12006	Evaluation return -500.000000
2023-05-02 11:15:59:	Timestep:14007	Evaluation return -500.000000
2023-05-02 11:16:02:	Timestep:16008	Evaluation return -500.000000
2023-05-02 11:16:04:	Timestep:18000	Evaluation return -500.000000
2023-05-02 11:16:06:	Timestep:20000	Evaluation return -500.000000
2023-05-02 11:16:08:	Timestep:22000	Evaluation return -485.200000
2023-05-02 11:16:11:	Timestep:24000	Evaluation return -500.000000
2023-05-02 11:16:13:	Timestep:26000	Evaluation return -500.000000
2023-05-02 11:16:15:	Timestep:28000	Evaluation return -396.000000
2023-05-02 11:16:18:	Timestep:30000	Evaluation return -423.600000
2023-05-02 11:16:20:	Timestep:32000	Evaluation return -449.400000
2023-05-02 11:16:22:	Timestep:34000	Evaluation return -315.000000
2023-05-02 11:16:24:	Timestep:36000	Evaluation return -359.400000
2023-05-02 11:16:26:	Timestep:38000	Evaluation return -323.800000
2023-05-02 11:16:28:	Timestep:40000	Evaluation return -179.000000
2023-05-02 11:16:30:	Timestep:42000	Evaluation return -178.800000
2023-05-02 11:16:32:	Timestep:44000	Evaluation return -247.400000
2023-05-02 11:16:34:	Timestep:46000	Evaluation return -166.400000
2023-05-02 11:16:36:	Timestep:48000	Evaluation return -173.400000
2023-05-02 11:16:38:	Timestep:50000	Evaluation return -207.600000
2023-05-02 11:16:40:	Timestep:52000	Evaluation return -162.400000
2023-05-02 11:16:41:	Timestep:54000	Evaluation return -111.200000
2023-05-02 11:16:43:	Timestep:56000	Evaluation return -136.800000
2023-05-02 11:16:45:	Timestep:58000	Evaluation return -146.200000
2023-05-02 11:16:47:	Timestep:60000	Evaluation return -114.400000
2023-05-02 11:16:49:	Timestep:62000	Evaluation return -139.000000
2023-05-02 11:16:51:	Timestep:64000	Evaluation return -113.600000
2023-05-02 11:16:52:	Timestep:66000	Evaluation return -93.800000
2023-05-02 11:16:54:	Timestep:68000	Evaluation return -101.800000
2023-05-02 11:16:56:	Timestep:70000	Evaluation return -103.600000
2023-05-02 11:16:57:	Timestep:72000	Evaluation return -111.200000
2023-05-02 11:16:59:	Timestep:74000	Evaluation return -98.000000
2023-05-02 11:17:01:	Timestep:76001	Evaluation return -96.800000
2023-05-02 11:17:03:	Timestep:78000	Evaluation return -103.000000
2023-05-02 11:17:05:	Timestep:80000	Evaluation return -111.600000
2023-05-02 11:17:06:	Timestep:82000	Evaluation return -106.400000
2023-05-02 11:17:08:	Timestep:84000	Evaluation return -99.000000
2023-05-02 11:17:10:	Timestep:86000	Evaluation return -182.200000
2023-05-02 11:17:12:	Timestep:88000	Evaluation return -100.200000
2023-05-02 11:17:14:	Timestep:90000	Evaluation return -98.200000
2023-05-02 11:17:16:	Timestep:92000	Evaluation return -94.800000
2023-05-02 11:17:17:	Timestep:94000	Evaluation return -99.800000
2023-05-02 11:17:19:	Timestep:96000	Evaluation return -82.200000
2023-05-02 11:17:21:	Timestep:98000	Evaluation return -99.200000
2023-05-02 11:17:23:	Timestep:100000	Evaluation return -98.400000
2023-05-02 11:17:25:	Timestep:102000	Evaluation return -89.400000
2023-05-02 11:17:26:	Timestep:104000	Evaluation return -90.000000
2023-05-02 11:17:28:	Timestep:106000	Evaluation return -92.600000
2023-05-02 11:17:30:	Timestep:108000	Evaluation return -102.200000
2023-05-02 11:17:32:	Timestep:110000	Evaluation return -95.800000
2023-05-02 11:17:34:	Timestep:112000	Evaluation return -82.400000
2023-05-02 11:17:35:	Timestep:114000	Evaluation return -88.000000
2023-05-02 11:17:37:	Timestep:116000	Evaluation return -81.200000
2023-05-02 11:17:39:	Timestep:118000	Evaluation return -80.400000
2023-05-02 11:17:41:	Timestep:120000	Evaluation return -118.800000
2023-05-02 11:17:43:	Timestep:122000	Evaluation return -81.400000
2023-05-02 11:17:44:	Timestep:124000	Evaluation return -75.400000
2023-05-02 11:17:46:	Timestep:126000	Evaluation return -82.400000
2023-05-02 11:17:48:	Timestep:128000	Evaluation return -75.200000
2023-05-02 11:17:50:	Timestep:130000	Evaluation return -84.600000
2023-05-02 11:17:51:	Timestep:132000	Evaluation return -88.400000
2023-05-02 11:17:53:	Timestep:134000	Evaluation return -91.400000
2023-05-02 11:17:55:	Timestep:136000	Evaluation return -75.400000
2023-05-02 11:17:57:	Timestep:138000	Evaluation return -82.400000
2023-05-02 11:17:58:	Timestep:140000	Evaluation return -101.000000
2023-05-02 11:18:00:	Timestep:142000	Evaluation return -84.000000
2023-05-02 11:18:02:	Timestep:144000	Evaluation return -91.600000
2023-05-02 11:18:04:	Timestep:146000	Evaluation return -88.000000
2023-05-02 11:18:06:	Timestep:148000	Evaluation return -85.200000
2023-05-02 11:18:07:	Timestep:150000	Evaluation return -92.400000
2023-05-02 11:18:09:	Timestep:152000	Evaluation return -103.200000
2023-05-02 11:18:11:	Timestep:154000	Evaluation return -78.200000
2023-05-02 11:18:13:	Timestep:156000	Evaluation return -88.600000
2023-05-02 11:18:15:	Timestep:158000	Evaluation return -77.200000
2023-05-02 11:18:16:	Timestep:160000	Evaluation return -96.000000
2023-05-02 11:18:18:	Timestep:162000	Evaluation return -87.200000
2023-05-02 11:18:20:	Timestep:164000	Evaluation return -74.800000
2023-05-02 11:18:22:	Timestep:166000	Evaluation return -82.000000
2023-05-02 11:18:24:	Timestep:168000	Evaluation return -80.600000
2023-05-02 11:18:25:	Timestep:170000	Evaluation return -101.400000
2023-05-02 11:18:27:	Timestep:172000	Evaluation return -80.000000
2023-05-02 11:18:29:	Timestep:174000	Evaluation return -75.000000
2023-05-02 11:18:31:	Timestep:176000	Evaluation return -79.200000
2023-05-02 11:18:32:	Timestep:178000	Evaluation return -84.600000
2023-05-02 11:18:34:	Timestep:180000	Evaluation return -77.400000
2023-05-02 11:18:36:	Timestep:182000	Evaluation return -98.400000
2023-05-02 11:18:38:	Timestep:184000	Evaluation return -89.200000
2023-05-02 11:18:40:	Timestep:186000	Evaluation return -81.200000
2023-05-02 11:18:41:	Timestep:188000	Evaluation return -76.800000
2023-05-02 11:18:43:	Timestep:190000	Evaluation return -74.000000
2023-05-02 11:18:45:	Timestep:192000	Evaluation return -88.000000
2023-05-02 11:18:47:	Timestep:194000	Evaluation return -78.600000
2023-05-02 11:18:48:	Timestep:196000	Evaluation return -81.200000
2023-05-02 11:18:50:	Timestep:198000	Evaluation return -72.400000
2023-05-02 11:18:52:	Timestep:200000	Evaluation return -89.800000
2023-05-02 11:18:54:	Timestep:202000	Evaluation return -77.600000
2023-05-02 11:18:55:	Timestep:204000	Evaluation return -70.200000
2023-05-02 11:18:57:	Timestep:206000	Evaluation return -74.000000
2023-05-02 11:18:59:	Timestep:208000	Evaluation return -80.200000
2023-05-02 11:19:01:	Timestep:210000	Evaluation return -103.200000
2023-05-02 11:19:02:	Timestep:212000	Evaluation return -76.000000
2023-05-02 11:19:04:	Timestep:214000	Evaluation return -73.200000
2023-05-02 11:19:06:	Timestep:216000	Evaluation return -84.200000
2023-05-02 11:19:08:	Timestep:218000	Evaluation return -75.600000
2023-05-02 11:19:10:	Timestep:220000	Evaluation return -69.800000
2023-05-02 11:19:11:	Timestep:222000	Evaluation return -66.200000
2023-05-02 11:19:13:	Timestep:224000	Evaluation return -71.000000
2023-05-02 11:19:15:	Timestep:226000	Evaluation return -70.600000
2023-05-02 11:19:17:	Timestep:228000	Evaluation return -76.200000
2023-05-02 11:19:18:	Timestep:230000	Evaluation return -76.200000
2023-05-02 11:19:20:	Timestep:232000	Evaluation return -78.200000
2023-05-02 11:19:22:	Timestep:234000	Evaluation return -77.000000
2023-05-02 11:19:23:	Timestep:236000	Evaluation return -89.000000
2023-05-02 11:19:25:	Timestep:238000	Evaluation return -80.000000
2023-05-02 11:19:27:	Timestep:240000	Evaluation return -87.400000
2023-05-02 11:19:29:	Timestep:242000	Evaluation return -73.000000
2023-05-02 11:19:30:	Timestep:244000	Evaluation return -75.800000
2023-05-02 11:19:32:	Timestep:246001	Evaluation return -81.000000
2023-05-02 11:19:34:	Timestep:248000	Evaluation return -76.400000
2023-05-02 11:19:36:	Timestep:250000	Evaluation return -76.800000
2023-05-02 11:19:37:	Timestep:252000	Evaluation return -82.600000
2023-05-02 11:19:39:	Timestep:254000	Evaluation return -75.600000
2023-05-02 11:19:41:	Timestep:256000	Evaluation return -73.000000
