2023-05-02 11:15:42:	logging to ppo/CartPole-v1/2023-05-02-11-15-10-238386
2023-05-02 11:15:42:	saved parameters.txt to ppo/CartPole-v1/2023-05-02-11-15-10-238386/parameters.txt
2023-05-02 11:15:42:	Initializing Environment
2023-05-02 11:15:42:	Initializing Agent
2023-05-02 11:15:42:	Initializing Trainer
2023-05-02 11:15:42:	Started training
2023-05-02 11:15:44:	Timestep:2000	Evaluation return 9.600000
2023-05-02 11:15:45:	Timestep:4000	Evaluation return 47.000000
2023-05-02 11:15:47:	Timestep:6000	Evaluation return 259.600000
2023-05-02 11:15:49:	Timestep:8000	Evaluation return 169.400000
2023-05-02 11:15:51:	Timestep:10000	Evaluation return 405.000000
2023-05-02 11:15:54:	Timestep:12000	Evaluation return 415.600000
2023-05-02 11:15:56:	Timestep:14000	Evaluation return 471.400000
2023-05-02 11:15:59:	Timestep:16000	Evaluation return 500.000000
2023-05-02 11:16:01:	Timestep:18000	Evaluation return 500.000000
2023-05-02 11:16:03:	Timestep:20000	Evaluation return 500.000000
2023-05-02 11:16:06:	Timestep:22000	Evaluation return 500.000000
2023-05-02 11:16:08:	Timestep:24000	Evaluation return 500.000000
2023-05-02 11:16:10:	Timestep:26000	Evaluation return 294.600000
2023-05-02 11:16:13:	Timestep:28000	Evaluation return 481.800000
2023-05-02 11:16:15:	Timestep:30000	Evaluation return 383.800000
2023-05-02 11:16:17:	Timestep:32000	Evaluation return 410.400000
2023-05-02 11:16:19:	Timestep:34000	Evaluation return 500.000000
2023-05-02 11:16:21:	Timestep:36000	Evaluation return 500.000000
2023-05-02 11:16:24:	Timestep:38000	Evaluation return 500.000000
2023-05-02 11:16:26:	Timestep:40000	Evaluation return 500.000000
2023-05-02 11:16:29:	Timestep:42000	Evaluation return 500.000000
2023-05-02 11:16:31:	Timestep:44000	Evaluation return 500.000000
2023-05-02 11:16:33:	Timestep:46000	Evaluation return 500.000000
2023-05-02 11:16:36:	Timestep:48000	Evaluation return 500.000000
2023-05-02 11:16:38:	Timestep:50000	Evaluation return 500.000000
2023-05-02 11:16:41:	Timestep:52000	Evaluation return 500.000000
2023-05-02 11:16:43:	Timestep:54000	Evaluation return 500.000000
2023-05-02 11:16:45:	Timestep:56000	Evaluation return 500.000000
2023-05-02 11:16:48:	Timestep:58000	Evaluation return 500.000000
2023-05-02 11:16:50:	Timestep:60000	Evaluation return 500.000000
2023-05-02 11:16:52:	Timestep:62000	Evaluation return 500.000000
2023-05-02 11:16:55:	Timestep:64000	Evaluation return 500.000000
2023-05-02 11:16:57:	Timestep:66000	Evaluation return 500.000000
2023-05-02 11:17:00:	Timestep:68000	Evaluation return 500.000000
2023-05-02 11:17:02:	Timestep:70000	Evaluation return 500.000000
2023-05-02 11:17:05:	Timestep:72000	Evaluation return 500.000000
2023-05-02 11:17:07:	Timestep:74000	Evaluation return 500.000000
2023-05-02 11:17:09:	Timestep:76000	Evaluation return 500.000000
2023-05-02 11:17:12:	Timestep:78000	Evaluation return 500.000000
2023-05-02 11:17:14:	Timestep:80000	Evaluation return 500.000000
2023-05-02 11:17:17:	Timestep:82000	Evaluation return 500.000000
2023-05-02 11:17:19:	Timestep:84000	Evaluation return 500.000000
2023-05-02 11:17:21:	Timestep:86000	Evaluation return 500.000000
2023-05-02 11:17:24:	Timestep:88000	Evaluation return 500.000000
2023-05-02 11:17:26:	Timestep:90000	Evaluation return 500.000000
2023-05-02 11:17:29:	Timestep:92000	Evaluation return 500.000000
2023-05-02 11:17:31:	Timestep:94000	Evaluation return 500.000000
2023-05-02 11:17:34:	Timestep:96000	Evaluation return 500.000000
2023-05-02 11:17:36:	Timestep:98000	Evaluation return 500.000000
2023-05-02 11:17:38:	Timestep:100000	Evaluation return 500.000000
2023-05-02 11:17:41:	Timestep:102000	Evaluation return 500.000000
2023-05-02 11:17:43:	Timestep:104000	Evaluation return 500.000000
2023-05-02 11:17:46:	Timestep:106000	Evaluation return 500.000000
2023-05-02 11:17:48:	Timestep:108000	Evaluation return 500.000000
2023-05-02 11:17:50:	Timestep:110000	Evaluation return 500.000000
2023-05-02 11:17:53:	Timestep:112000	Evaluation return 500.000000
2023-05-02 11:17:55:	Timestep:114000	Evaluation return 500.000000
2023-05-02 11:17:58:	Timestep:116000	Evaluation return 500.000000
2023-05-02 11:18:00:	Timestep:118000	Evaluation return 500.000000
2023-05-02 11:18:02:	Timestep:120000	Evaluation return 500.000000
2023-05-02 11:18:05:	Timestep:122000	Evaluation return 500.000000
2023-05-02 11:18:07:	Timestep:124000	Evaluation return 500.000000
2023-05-02 11:18:09:	Timestep:126000	Evaluation return 500.000000
2023-05-02 11:18:12:	Timestep:128000	Evaluation return 500.000000
2023-05-02 11:18:14:	Timestep:130000	Evaluation return 500.000000
2023-05-02 11:18:17:	Timestep:132000	Evaluation return 500.000000
2023-05-02 11:18:19:	Timestep:134000	Evaluation return 500.000000
2023-05-02 11:18:21:	Timestep:136000	Evaluation return 500.000000
2023-05-02 11:18:24:	Timestep:138000	Evaluation return 500.000000
2023-05-02 11:18:26:	Timestep:140000	Evaluation return 500.000000
2023-05-02 11:18:29:	Timestep:142000	Evaluation return 500.000000
2023-05-02 11:18:31:	Timestep:144000	Evaluation return 500.000000
2023-05-02 11:18:34:	Timestep:146000	Evaluation return 500.000000
2023-05-02 11:18:36:	Timestep:148000	Evaluation return 500.000000
2023-05-02 11:18:38:	Timestep:150000	Evaluation return 500.000000
2023-05-02 11:18:41:	Timestep:152000	Evaluation return 500.000000
2023-05-02 11:18:43:	Timestep:154000	Evaluation return 500.000000
2023-05-02 11:18:45:	Timestep:156000	Evaluation return 500.000000
2023-05-02 11:18:48:	Timestep:158000	Evaluation return 500.000000
2023-05-02 11:18:50:	Timestep:160000	Evaluation return 500.000000
2023-05-02 11:18:53:	Timestep:162000	Evaluation return 500.000000
2023-05-02 11:18:55:	Timestep:164000	Evaluation return 500.000000
2023-05-02 11:18:58:	Timestep:166000	Evaluation return 500.000000
2023-05-02 11:19:00:	Timestep:168000	Evaluation return 500.000000
2023-05-02 11:19:02:	Timestep:170000	Evaluation return 500.000000
2023-05-02 11:19:05:	Timestep:172000	Evaluation return 500.000000
2023-05-02 11:19:07:	Timestep:174000	Evaluation return 500.000000
2023-05-02 11:19:09:	Timestep:176000	Evaluation return 500.000000
2023-05-02 11:19:12:	Timestep:178000	Evaluation return 500.000000
2023-05-02 11:19:14:	Timestep:180000	Evaluation return 500.000000
2023-05-02 11:19:17:	Timestep:182000	Evaluation return 500.000000
2023-05-02 11:19:19:	Timestep:184000	Evaluation return 500.000000
2023-05-02 11:19:21:	Timestep:186000	Evaluation return 500.000000
